NOMBRE,TIPO DE COMIDA,SUBTIPO DE COMIDA,PUNTUACION,PRECIO,PRECIO x PERSONA,PLATO RECOMENDADO,AMBIENTE,LINK (CARTA),RESERVAS,DIRECCION,CIUDAD
Beata Pasta,Italiana,Pasta,4,$$,15-20,Carbonara,Informal,Beata Pasta,TRUE,Metro Bilbao,Madrid
Sumo D.D.Leon,Asiatica,Sushi Buffet,4,$$,15-20,Rolls de pez mantequilla,Informal,,TRUE,Metro Diego de Leon,Madrid
Pato Salvaje,Asiatica,Pato Buffet,"3,5",$$,15-20,Bandeja de pato laqueado,Informal,Pato Salvaje,TRUE,Metro Velazquez,Madrid
Goiko Smash,Americana,Hamburguesas Smash,4,$,10-15,Basic Onion Smash,Informal,Carta – Basics by Goiko,FALSE,Chueca - Tribunal,Madrid
Roost Chicken,Americana,Hamburguesas Pollo,"4,5",$$,15-20,Buucheese burguer,Informal,Carta - Roost Chicken,TRUE,Tribunal - Pza 2 de Mayo,Madrid
Sushiaoi,Asiatica,Sushi Buffet,"3,5",$$,15-20,Roll Black Shake,Informal,Sushiaoi,TRUE,Velazquez - Nuñez de Balboa,Madrid
Running sushi in Akihabara,Asiatica,Sushi Buffet,"3,5",$$,15-20,-,Informal,Running Sushi,TRUE,Metro Plaza de España,Madrid
Running sushi in Osaka,Asiatica,Sushi Buffet,"3,5",$$,15-20,-,Informal,Running Sushi,TRUE,Calle Hermosilla,Madrid
BDP Buguer,Americana,Hamburguesas,5,$$,15-20,Nicky Jam,Informal,Menu bdp smash,TRUE,Alberto Alcocer,Madrid
Hundred Burguers,Americana,Hamburguesas,"4,5",$,10-15,Singular / Satisfaction,Informal,carta de Hundred Burgers,TRUE,Alcobendas / Eloy Gonzalo,Madrid
Manteca Smash,Americana,Hamburguesas Smash,"3,5",$,10-15,Cheeseburger,Informal,Manteca Burger,TRUE,Nuñez de Balboa,Madrid
Distrito Burguer,Americana,Hamburguesas Smash,"3,5",$,10-15,Egg Truffle Burger,Informal,Distrito Burger,FALSE,Ibiza / Bernabeu,Madrid
Thai Garden (thai emotion),Asiatica,Tailandesa,5,$$$$,25+,Nua Kratiam / Khao soi,Formal,Thai Emotion,TRUE,"Añastro, Arturo Soria",Madrid
El Jalapeño,Mexicana,Mex,4,$$$,20-25,Cazuela de Pastor,Informal,Carta - El Jalapeño,TRUE,Metro Cuzco,Madrid
Órale compadre (new),Mexicana,Mex,4,$$$,20-25,Tacos al Pastor / Pepito,Informal,Carta Órale Compadre,TRUE,Parque Comercial Rio Norte,Madrid
Juanchos BBQ,Americana,Hamburguesas,"4,5",$$,15-20,Bacon Juancheeseburguer,Informal,Juancho's BBQ,TRUE,Mercado San Leopoldo / Goya,Madrid
Tierra Burrito,Mexicana,Burritos,5,$,10-15,Burrito Pollo / Carnitas,Informal,Tierra Burrito Bar,FALSE,Castellana / Moraleja / Ópera,Madrid
TGB Burguer,Americana,Hamburguesas,4,$,10-15,TGB Burguer / Cheese Lovers,Informal,The Good Burger,FALSE,Castellana / Princesa,Madrid
Pez Tortilla,Española,Tortillas,4,$,10-15,Tortilla de Brie,Informal,Pez Tortilla,FALSE,Noviciado / Sol,Madrid
La Landa,Española,Carta,"4,5",$$$,20-25,Timbal de Morcilla / Huevos con Foie,Formal,Taberna LaLanda,TRUE,Metro Colombia,Madrid
Casa Pello,Española,Cocido,4,$$$$,25+,Cocido Madrleño 3 vuelcos,Formal,Para comer - Casa Pello,TRUE,Metro Colombia,Madrid
La Mucca Organik Parrilla,Española,A compartir,4,$$,15-20,Pizza Mayorquina (masa carbon),Informal,lamucca de fuencarral | restaurante orgánico,TRUE,Campo de las Naciones,Madrid
La Mucca (classic),Española,A compartir,4,$$,15-20,Croquetas de Mamá,Informal,Lamucca,TRUE,Serrano / Hermosilla / Pez / Ballesta,Madrid
Asador Lekeitio,Española,Asador,4,$$$$,25+,Carnes,Formal,asadorlekeitio.es,TRUE,Metro Colombia / Concha Espina,Madrid
Solidere,Libanesa,A compartir,5,$$$,20-25,Hummus,Formal,Restaurante Solidere,TRUE,Av. Alfonso XIII,Madrid
Sakalé,Asiatica,Sushi Carta,"4,5",$$$,20-25,Japomex,Informal,Sákale Madrid,TRUE,Calle Fuencarral - Callao,Madrid
Casa de Córdoba,Española,Andaluza,"3,5",$$,15-20,Frituras,Informal,"CASA DE CORDOBA AIRE DEL SUR, Madrid - Chamartín - Fotos, Número de Teléfono y Restaurante Opiniones - Tripadvisor",TRUE,Metro Colombia,Madrid
Santoku?,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
,,,,,,,,,FALSE,,
